experiment,run,checkpoint,step,band,mask_len,method,metric,value
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,acc_top1,0.015625
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,acc_top5,0.0625
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,si_sdr_db,14.889150721043322
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,si_sdr_db_gap_only,-11.58211989956325
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,spectral_convergence,0.10965108871459961
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,spectral_convergence_gap_only,0.6309564635157585
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,loss,6.7581787109375
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,nll,6.7581787109375
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,ppl,861.0725048575589
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,acc_top1,0.0
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,acc_top5,0.0390625
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,si_sdr_db,9.90905138055249
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,si_sdr_db_gap_only,-17.536275062877714
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,spectral_convergence,0.20628159306943417
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,2,model,spectral_convergence_gap_only,0.9292181134223938
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,loss,6.510749816894531
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,nll,6.510749816894531
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,ppl,672.3303532953382
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,acc_top1,0.015625
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,acc_top5,0.05078125
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,si_sdr_db,6.891516089351444
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,si_sdr_db_gap_only,-25.395078142082255
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,spectral_convergence,0.2561657465994358
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,4,model,spectral_convergence_gap_only,0.8033100068569183
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,loss,6.4984893798828125
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,nll,6.4984893798828125
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,ppl,664.1376152483749
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,acc_top1,0.0078125
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,acc_top5,0.056640625
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,si_sdr_db,3.5047027961308936
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,si_sdr_db_gap_only,-24.45551477022586
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,spectral_convergence,0.33132784254848957
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,8,model,spectral_convergence_gap_only,0.8386005014181137
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,loss,6.609104156494141
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,nll,6.609104156494141
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,ppl,741.8181679716697
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,acc_top1,0.009765625
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,acc_top5,0.04296875
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,si_sdr_db,-0.10687838065042321
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,si_sdr_db_gap_only,-28.815472321978774
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,spectral_convergence,0.49055469036102295
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,16,model,spectral_convergence_gap_only,0.8532414585351944
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,low_activity,1,model,loss,4.000709533691406
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,low_activity,1,model,nll,4.000709533691406
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,low_activity,1,model,ppl,54.636903006725596
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,low_activity,1,model,acc_top1,0.015625
