run,category,tag,step,wall_time_utc,value
phase1_songs01,training_aggregate,train/avg_acc_top5,9000,2026-09-08T08:46:42.970097Z,0.1874162406
phase1_songs01,training_aggregate,train/avg_acc_top5,10000,2026-09-08T08:47:47.563258Z,0.2081761509
phase1_songs01,training_aggregate,train/avg_acc_top5,11000,2026-09-08T08:49:05.097541Z,0.2321151644
phase1_songs01,training_aggregate,train/avg_acc_top5,12000,2026-09-08T08:50:10.852218Z,0.2530346215
phase1_songs01,training_aggregate,train/avg_acc_top5,13000,2026-09-08T08:51:15.351410Z,0.2745242119
phase1_songs01,training_aggregate,train/avg_acc_top5,14000,2026-09-08T08:52:14.984086Z,0.2972528934
phase1_songs01,training_aggregate,train/avg_acc_top5,15000,2026-09-08T08:53:15.025414Z,0.3211039603
phase1_songs01,training_aggregate,train/avg_acc_top5,16000,2026-09-08T08:54:19.273349Z,0.3428050876
phase1_songs01,training_aggregate,train/avg_acc_top5,17000,2026-09-08T08:55:24.279481Z,0.3675108552
phase1_songs01,training_aggregate,train/avg_acc_top5,18000,2026-09-08T08:56:25.795354Z,0.3932118118
phase1_songs01,training_aggregate,train/avg_acc_top5,19000,2026-09-08T08:57:26.394236Z,0.4150839746
phase1_songs01,training_aggregate,train/avg_acc_top5,20000,2026-09-08T08:58:26.310984Z,0.4378126264
phase1_songs01,training_aggregate,train/avg_acc_top5,21000,2026-09-08T08:59:43.546061Z,0.4594444931
phase1_songs01,training_aggregate,train/avg_acc_top5,22000,2026-09-08T09:00:46.013140Z,0.4806996584
phase1_songs01,training_aggregate,train/avg_acc_top5,23000,2026-09-08T09:01:48.706246Z,0.5019458532
phase1_songs01,training_aggregate,train/avg_acc_top5,24000,2026-09-08T09:02:51.023097Z,0.5220394731
phase1_songs01,training_aggregate,train/avg_acc_top5,25000,2026-09-08T09:03:52.606329Z,0.5395342112
phase1_songs01,training_aggregate,train/avg_acc_top5,26000,2026-09-08T09:04:56.059500Z,0.5564405322
phase1_songs01,training_aggregate,train/avg_acc_top5,27000,2026-09-08T09:05:57.875118Z,0.5737306476
phase1_songs01,training_aggregate,train/avg_acc_top5,28000,2026-09-08T09:06:59.650907Z,0.5855391622
phase1_songs01,training_aggregate,train/avg_acc_top5,29000,2026-09-08T09:08:01.704232Z,0.6014360785
phase1_songs01,training_aggregate,train/avg_acc_top5,30000,2026-09-08T09:09:05.532987Z,0.6146838665
phase1_songs01,training_aggregate,train/avg_acc_top5,31000,2026-09-08T09:10:23.185202Z,0.627120316
phase1_songs01,training_aggregate,train/avg_acc_top5,32000,2026-09-08T09:11:27.787276Z,0.6396909952
phase1_songs01,training_aggregate,train/avg_acc_top5,33000,2026-09-08T09:12:33.505225Z,0.6464163065
phase1_songs01,training_aggregate,train/avg_acc_top5,34000,2026-09-08T09:13:35.150810Z,0.6579883695
phase1_songs01,training_aggregate,train/avg_acc_top5,35000,2026-09-08T09:14:39.389409Z,0.6677025557
phase1_songs01,training_aggregate,train/avg_acc_top5,36000,2026-09-08T09:15:42.604354Z,0.6762379408
phase1_songs01,training_aggregate,train/avg_acc_top5,37000,2026-09-08T09:16:41.790121Z,0.6863386631
phase1_songs01,training_aggregate,train/avg_acc_top5,38000,2026-09-08T09:17:44.515637Z,0.6937369704
phase1_songs01,training_aggregate,train/avg_acc_top5,39000,2026-09-08T09:18:47.316877Z,0.7057642937
phase1_songs01,training_aggregate,train/avg_acc_top5,40000,2026-09-08T09:19:51.172084Z,0.7141304016
phase1_songs01,training_aggregate,train/avg_acc_top5,41000,2026-09-08T09:21:06.990644Z,0.7213015556
phase1_songs01,training_aggregate,train/avg_acc_top5,42000,2026-09-08T09:22:11.263150Z,0.7225564718
phase1_songs01,training_aggregate,train/avg_acc_top5,43000,2026-09-08T09:23:10.526595Z,0.7325310111
phase1_songs01,training_aggregate,train/avg_acc_top5,44000,2026-09-08T09:24:12.742532Z,0.7412316203
phase1_songs01,training_aggregate,train/avg_acc_top5,45000,2026-09-08T09:25:16.516209Z,0.7468409538
phase1_songs01,training_aggregate,train/avg_acc_top5,46000,2026-09-08T09:26:19.220289Z,0.7529563904
phase1_songs01,training_aggregate,train/avg_acc_top5,47000,2026-09-08T09:27:22.970977Z,0.7606270313
phase1_songs01,training_aggregate,train/avg_acc_top5,48000,2026-09-08T09:28:26.523023Z,0.7654007673
phase1_songs01,training_aggregate,train/avg_acc_top5,49000,2026-09-08T09:29:28.073382Z,0.7653408647
phase1_songs01,training_aggregate,train/avg_acc_top5,50000,2026-09-08T09:30:29.245042Z,0.7750006914
phase1_songs01,training_aggregate,train/avg_acc_top5,51000,2026-09-08T09:32:00.370205Z,0.7792366147
phase1_songs01,training_aggregate,train/avg_acc_top5,52000,2026-09-08T09:33:00.436929Z,0.7838425636
phase1_songs01,training_aggregate,train/avg_acc_top5,53000,2026-09-08T09:34:00.908531Z,0.7876024842
phase1_songs01,training_aggregate,train/avg_acc_top5,54000,2026-09-08T09:35:05.145872Z,0.7924240232
phase1_songs01,training_aggregate,train/avg_acc_top5,55000,2026-09-08T09:36:07.029294Z,0.798676908
phase1_songs01,training_aggregate,train/avg_acc_top5,56000,2026-09-08T09:37:09.732808Z,0.8027326465
phase1_songs01,training_aggregate,train/avg_acc_top5,57000,2026-09-08T09:38:09.750253Z,0.8081412315
phase1_songs01,training_aggregate,train/avg_acc_top5,58000,2026-09-08T09:39:10.703684Z,0.8120017052
phase1_songs01,training_aggregate,train/avg_acc_top5,59000,2026-09-08T09:40:12.642419Z,0.8185225725
phase1_songs01,training_aggregate,train/avg_acc_top5,60000,2026-09-08T09:41:14.952832Z,0.8205319047
phase1_songs01,training_aggregate,train/avg_acc_top5,61000,2026-09-08T09:42:28.735418Z,0.8236673474
phase1_songs01,training_aggregate,train/avg_acc_top5,62000,2026-09-08T09:43:29.481063Z,0.827899456
phase1_songs01,training_aggregate,train/avg_acc_top5,63000,2026-09-08T09:44:32.154404Z,0.832893014
phase1_songs01,training_aggregate,train/avg_acc_top5,64000,2026-09-08T09:45:35.817057Z,0.8361353874
phase1_songs01,training_aggregate,train/avg_acc_top5,65000,2026-09-08T09:46:36.860585Z,0.8400683999
phase1_songs01,training_aggregate,train/avg_acc_top5,66000,2026-09-08T09:47:41.103113Z,0.8400555849
phase1_songs01,training_aggregate,train/avg_acc_top5,67000,2026-09-08T09:48:43.814617Z,0.8457669616
phase1_songs01,training_aggregate,train/avg_acc_top5,68000,2026-09-08T09:49:47.583359Z,0.8480098248
phase1_songs01,training_aggregate,train/avg_acc_top5,69000,2026-09-08T09:50:50.335103Z,0.8519631028
phase1_songs01,training_aggregate,train/avg_acc_top5,70000,2026-09-08T09:51:55.714676Z,0.8521552086
